Name	Percentage
Dwarven Sharpshooter	94.3
Helboar	1.6
Shimmerfly	1.9
Timber Wolf	1.3
Imprisoned Felmaw	68.2
Phase Stalker	86.9
Augmented Porcupine	1.9
Chopshop Copter	0,00
Diving Gryphon	11.3
Primordial Explorer	13.9
Ramkahen Wildtamer	2.0
Ursatron	0.2
Zixor, Apex Predator	9.8
Arcane Fletcher	0.05
Dragonsbane	75.4
Houndmaster	1.9
Hyena Alpha	5.7
Mok'Nathal Lion	2.2
Starving Buzzard	0.3
Tundra Rhino	1.6
Oblivitron	0.02
Savannah Highmane	1.9
Scarlet Webweaver	0.5
Veranus	4.7
Wild Bloodstinger	0.5
Dinotamer Brann	28.1
Vereesa Windrunner	0.5
Beastmaster Leoroxx	1.2
King Krush	2.8
Scavenging Hyena	1.6
Rotnest Drake	5.9
