Name	Percentage
Scavenger's Ingenuity	94,3
Kill Command	93,2
Freezing Trap	84,1
Pressure Plate	64,8
Animal Companion	62,3
Pack Tactics	54,6
Unleash the Hounds	41,9
Explosive Trap	37,9
Toxic Reinforcements	34,8
Tracking	33,4
Snake Trap	13,8
Corrosive Breath	11,9
Deadly Shot	8,5
Nagrand Slam	7,5
Marked Shot	6,2
Unleash the Beast	5,4
Arcane Shot	4
Hunter's Pack	3
Scrap Shot	2,9
Rapid Fire	2,3
Flare	2,1
Misdirection	1,9
Snipe	1,9
Swarn of Locusts	1,6
Unseal the Vault	1,4
Hunter's Mark	1,3
Fresh Scent	1,1
Multi-Shot	1
Nine Lives	0,8
Clear the Way	0,6
Hunting Party	0,5
Explosive Shot	0,5
Bestial Wrath	0,2
