Name	Percentage
Hand of A'dal	96,9
Libram of Wisdom	90,9
Libram of Hope	90,4
Libram of Justice	89,6
Consecration	68,2
Blessing of Kings	19,6
Air Raid	11,5
Lightforged Blessing	11,3
Pharaoh's Blessing	7
Subdue	6,6
Call to Adventure	4,3
Hammer of Wrath	2,3
Duel!	1,8
Blessing of Wisdom	1,8
Sand Breath	1,6
Avenging Wrath	1,5
Desperate Measures	1,4
Sanctuary	1,4
Equality	1,4
Lay of Hands	1,4
Redemption	1,3
Blessed Champion	0,8
Blessing of Might	0,8
Righteous Cause	0,8
Holy Light	0,7
Making Mummies	0,7
Noble Sacrifice	0,6
Never Surrender!	0,6
Tip the Scales	0,5
Humility	0,3
Hand of Protection	0,3
Holy Wrath	0,2
Righteousness	0,2
Repentance	0,2
Eye for an Eye	0,2
